1	141879	0.000000	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.000000
市场	证券代码	流通股本	所属省份	所属行业	财务更新日期	上市日期	总股本	国家股	发起人法人股	法人股	B股	H股	职工股	总资产	流动资产	固定资产	无形资产	股东人数	流动负债	长期负债	资本公积金	净资产	主营收入	主营利润	应收帐款	营业利润	投资收益	经营现金流	总现金流	存货	利润总额	税后利润	净利润	未分利润	保留	保留
1	603066	30070.289063	26	8	20190919	20150611	30070.289063	152101.000000	56701.480469	352178.437500	0.000000	0.000000	0.000000	1308848.125000	1051291.750000	89251.703125	76505.796875	18604.000000	292858.187500	3166.099854	190062.687500	986084.687500	395282.687500	266084.500000	351315.312500	65422.699219	4840.500000	-30714.900391	-167933.593750	208845.390625	65310.500000	57599.000000	58123.597656	444210.906250	0.000000	6.000000
市场	证券代码	流通股本	所属省份	所属行业	财务更新日期	上市日期	总股本	国家股	发起人法人股	法人股	B股	H股	职工股	总资产	流动资产	固定资产	无形资产	股东人数	流动负债	长期负债	资本公积金	净资产	主营收入	主营利润	应收帐款	营业利润	投资收益	经营现金流	总现金流	存货	利润总额	税后利润	净利润	未分利润	保留	保留
1	127912	0.000000	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.000000
市场	证券代码	流通股本	所属省份	所属行业	财务更新日期	上市日期	总股本	国家股	发起人法人股	法人股	B股	H股	职工股	总资产	流动资产	固定资产	无形资产	股东人数	流动负债	长期负债	资本公积金	净资产	主营收入	主营利润	应收帐款	营业利润	投资收益	经营现金流	总现金流	存货	利润总额	税后利润	净利润	未分利润	保留	保留
1	134363	0.000000	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.000000
市场	证券代码	流通股本	所属省份	所属行业	财务更新日期	上市日期	总股本	国家股	发起人法人股	法人股	B股	H股	职工股	总资产	流动资产	固定资产	无形资产	股东人数	流动负债	长期负债	资本公积金	净资产	主营收入	主营利润	应收帐款	营业利润	投资收益	经营现金流	总现金流	存货	利润总额	税后利润	净利润	未分利润	保留	保留
1	103152	0.000000	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.000000
市场	证券代码	流通股本	所属省份	所属行业	财务更新日期	上市日期	总股本	国家股	发起人法人股	法人股	B股	H股	职工股	总资产	流动资产	固定资产	无形资产	股东人数	流动负债	长期负债	资本公积金	净资产	主营收入	主营利润	应收帐款	营业利润	投资收益	经营现金流	总现金流	存货	利润总额	税后利润	净利润	未分利润	保留	保留
1	600093	112244.750000	23	8	20190830	19970626	112244.750000	152101.000000	418523.187500	8794669.000000	0.000000	0.000000	0.000000	16674551.000000	15635332.000000	2944.899902	2436.600098	56727.000000	7390918.000000	651400.687500	4038883.000000	7543031.000000	5584303.000000	5578743.000000	327597.687500	551167.187500	6882.199707	-179067.500000	9973.700195	1302.400024	551137.875000	476901.812500	461333.718750	2150070.500000	0.000000	6.000000
